"","X","X1","X2","X3","X4","X5","X6","X7","X8","mean"
"31","2012-04-18 12:25:00",4.74,4.776,6.024,5.946,4.764,4.836,4.824,4.872,5.09775
"22","2012-04-25 13:25:00",5.922,7.164,7.236,8.322,7.146,7.254,7.236,6.09,7.04625
"98","2012-05-10 01:10:00",4.74,5.958,4.824,4.752,5.97,4.836,4.824,4.872,5.097
"63","2012-06-15 04:50:00",4.74,5.982,6.024,4.752,4.764,6.042,4.824,4.872,5.25
"116","2012-06-22 22:50:00",15.402,13.146,13.284,13.074,13.104,9.672,13.272,10.962,12.7395
"25","2012-07-06 10:05:00",33.18,40.62,42.216,41.586,42.876,37.482,39.804,30.45,38.52675
"10","2012-07-06 15:50:00",5.928,7.164,7.236,7.128,7.146,8.46,7.236,7.308,7.20075
"3","2012-07-07 19:35:00",86.508,77.598,65.112,66.516,61.926,81,72.36,84.042,74.38275
"101","2012-07-19 04:10:00",10.668,10.758,14.472,14.256,14.292,14.508,13.272,9.744,12.74625
"4","2012-08-05 16:55:00",101.898,94.29,69.948,89.058,94.08,65.292,91.656,77.952,85.52175
"12","2012-08-15 17:05:00",40.29,47.76,47.04,40.38,44.064,37.488,45.828,41.412,43.03275
"88","2013-05-15 04:30:00",7.2,7.164,8.436,8.31,9.528,8.328,9.552,6.09,8.076
"6","2013-07-23 07:05:00",38.106,37.026,37.392,36.834,36.918,35.73,37.032,42.63,37.7085
"85","2013-07-28 04:40:00",27.396,27.474,26.532,27.33,26.202,23.82,27.444,26.796,26.62425
