"","X1","X2","X3","X4","X5","X6","X7","X8"
"2013-07-27 21:40:00",0,0,0,0,0,0,0,0
"2013-07-27 21:42:00",0,0,0,0,0,0,0,0
"2013-07-27 21:44:00",0,0,0,0,0,0,0,0
"2013-07-27 21:46:00",0,3.015,0,0,0,0,3.03,3.045
"2013-07-27 21:48:00",2.985,0,0,2.985,2.97,2.955,2.94,0
"2013-07-27 21:50:00",0,2.955,0,0,2.985,0,0,0
"2013-07-27 21:52:00",2.97,0,3,0,0,3,0,3.045
"2013-07-27 21:54:00",0,0,0,0,0,0,0,0
"2013-07-27 21:56:00",0,0,0,0,0,0,0,0
"2013-07-27 21:58:00",0,0,0,0,0,0,0,0
"2013-07-27 22:00:00",0,0,0,2.955,0,0,0,0
"2013-07-27 22:02:00",0,0,3.03,0,0,0,0,0
"2013-07-27 22:04:00",0,3.015,0,0,2.97,0,5.97,0
"2013-07-27 22:06:00",2.985,2.955,3,2.985,2.985,5.955,0,3.045
"2013-07-27 22:08:00",2.97,0,0,0,0,0,0,3.045
"2013-07-27 22:10:00",0,0,3.03,2.955,0,0,0,0
"2013-07-27 22:12:00",0,0,0,0,0,0,0,0
"2013-07-27 22:14:00",0,3.015,0,0,0,0,3.03,0
"2013-07-27 22:16:00",0,0,0,2.985,2.97,2.955,2.94,3.045
"2013-07-27 22:18:00",0,2.955,0,0,2.985,3,0,0
"2013-07-27 22:20:00",5.955,0,3,2.955,0,0,0,3.045
"2013-07-27 22:22:00",0,0,3.03,0,0,0,0,0
"2013-07-27 22:24:00",0,3.015,0,0,0,0,5.97,0
"2013-07-27 22:26:00",0,2.955,0,2.985,5.955,5.955,0,3.045
"2013-07-27 22:28:00",5.955,0,6.03,2.955,0,0,0,3.045
"2013-07-27 22:30:00",0,3.015,0,2.985,0,0,5.97,0
"2013-07-27 22:32:00",2.97,2.955,3,2.955,5.955,5.955,0,3.045
"2013-07-27 22:34:00",2.985,3.015,3.03,0,0,0,5.97,3.045
"2013-07-27 22:36:00",0,2.955,0,2.985,5.955,5.955,0,3.045
"2013-07-27 22:38:00",2.97,0,6.03,2.955,0,0,0,3.045
